One MMR jab is enough, the second only a safety precaution	13 case certain interested jab mmr old precaution reason research safety sense year
That vaccine in general is good doesn't mean MMR is good	absolutism absolutist admitted affect amusing autism autistic bullying came case cause coming compensation conclusion continue damage debate doctors evidence example findings fully general good governments issue issues life link look mmr non normal open parents particular pattern pharmaceuticals pims present pro proved quite real reported reporting reports results stance study thread threads trust understand wakefield
A link between MMR and autism has not been disproved	absolutism absolutist admitted affect amusing autism autistic bullying came case cause coming compensation conclusion continue damage debate doctors evidence example findings fully general good governments issue issues life link look mmr non normal open parents particular pattern pharmaceuticals pims present pro proved quite real reported reporting reports results stance study thread threads trust understand wakefield
Governments or pharmaceuticals cannot be trusted on the issue of vaccines, e.g. for financial reasons	absolutism absolutist admitted affect amusing autism autistic bullying came case cause coming compensation conclusion continue damage debate doctors evidence example findings fully general good governments issue issues life link look mmr non normal open parents particular pattern pharmaceuticals pims present pro proved quite real reported reporting reports results stance study thread threads trust understand wakefield
Children who have been reported as having reacted badly to MMR are not examined/parents dismissed/more research needed	advised answer argue badly began benefit carried certainly clear court day decent difficult disagree duration efficacy epidemiological especially exonerate general good individual introduction investigated issues lie loads looking measles medical mind mmr multiple mumps parents poor problems programme protect public real reported risk rubella sad scientific single statement studies surely treated treatment truly vague valid vigilant wrong
There is no proven causal  link between  MMR and autism, despite many studies.	answer autism bad based book case causation cause clearly course doubt established evidence exist field general good happy harmful incidentally ing instance later loads look minds mmr opinions particular person personal reactions respect seen set started studies thought thread threads truly vomiting vs wakefield
There is no increased incidence of  autism in children vaccinated with MMR compared with unvaccinated children	answer autism bad based book case causation cause clearly course doubt established evidence exist field general good happy harmful incidentally ing instance later loads look minds mmr opinions particular person personal reactions respect seen set started studies thought thread threads truly vomiting vs wakefield
There is no proven causal  link between  MMR and autism, despite many studies.	autism causal causation cause correct evidence link mmr obviously parents proven regression regressive saying
The scientific papers that suggest a link between MMR and autism have been shown invalid, e.g. Wakefield's research.	able acknowledge autism backed bad based causal channels clear concerns conclusion consider continue credible dangerous decision diseases ed evidence far free good happy important information informed internet investigated link look medical mind mmr national needed number papers parents points potential practice published quite raised risk risks scientific set simply sources support sure thread treated treatment valid vigilant
There is no proven causal  link between  MMR and autism, despite many studies.	able acknowledge autism backed bad based causal channels clear concerns conclusion consider continue credible dangerous decision diseases ed evidence far free good happy important information informed internet investigated link look medical mind mmr national needed number papers parents points potential practice published quite raised risk risks scientific set simply sources support sure thread treated treatment valid vigilant
we can only consider credible published evidence	able acknowledge autism backed bad based causal channels clear concerns conclusion consider continue credible dangerous decision diseases ed evidence far free good happy important information informed internet investigated link look medical mind mmr national needed number papers parents points potential practice published quite raised risk risks scientific set simply sources support sure thread treated treatment valid vigilant
A link between MMR and autism has not been disproved	autistic brain cause damage head link mmr parents proved regression simply struggling wrong
A link between vaccines and brain damage has not been disproved	autistic brain cause damage head link mmr parents proved regression simply struggling wrong
Personal story of getting measles from MMR/measles vaccination	able affect assume autism case cause concern concerns debate doubt ed feel helping immune interested issues jab long look measles medical mmr possibly public reaction reason related results section severe similar single son sure surely thread wakefield
MMR is safe	100 anti damage mmr poor pro record safe safety thousands
Personal story of immune system negatively affected by MMR/measles vaccination	clear immune mmr reaction severe terrible worry
There is no proven causal  link between  MMR and autism, despite many studies.	argue autism bad clear concerns data ed exist loads mmr parents protect reactions remember reports seriously studies worse
While there is a small risk of bad reactions from vaccination/vaccination damage, the risk from the diseases is larger	argue autism bad clear concerns data ed exist loads mmr parents protect reactions remember reports seriously studies worse
Many reports of vaccination damage and regressive autism after vaccination	absolutely autism cause damage deal debate definitely difficult feel hard hugely mmr parents recent report saying thousands
That vaccine in general is good doesn't mean MMR is good	absolutely autism cause damage deal debate definitely difficult feel hard hugely mmr parents recent report saying thousands
Concerns of waning immunity from MMR	catch gov immune jab long longer measles mmr official possibly posted presumably problem single stance surely thread told
Many reports of vaccination damage and regressive autism after vaccination	absolutist article autistic based called catastrophic dismissed evidence government hard lie link links look looking measles medical minded mmr mumps nhs open opinion papers parents pharmaceutical profession reactions regression remember reported reporting scientific sorry struck sure thousands thread wrong
Children who have been reported as having reacted badly to MMR are not examined/parents dismissed/more research needed	absolutist article autistic based called catastrophic dismissed evidence government hard lie link links look looking measles medical minded mmr mumps nhs open opinion papers parents pharmaceutical profession reactions regression remember reported reporting scientific sorry struck sure thousands thread wrong
Governments or pharmaceuticals cannot be trusted on the issue of vaccines, e.g. for financial reasons	absolutist article autistic based called catastrophic dismissed evidence government hard lie link links look looking measles medical minded mmr mumps nhs open opinion papers parents pharmaceutical profession reactions regression remember reported reporting scientific sorry struck sure thousands thread wrong
Scientific evidence is needed to prove a link between MMR and autism	able advice based bullying came causal cause certainly common concern dangerous debate decision definitely difficult disagree evidence examined experience free fully gb honesty informed issue link links making matter minded mmr non opinion parental parents posts pretty proven reason respect result risk scientific sense tabs thread
People rely on what they read in the news to make decisions	able age autism autistic cause come decisions exactly example experience making mmr mum news number opinions papers preventable process proved reason rely scared scary scientific son sorry sound sure takes various
Personal experience of no link between MMR and autism	able age autism autistic cause come decisions exactly example experience making mmr mum news number opinions papers preventable process proved reason rely scared scary scientific son sorry sound sure takes various
MMR effective in stopping the spread of 3 potentially dangerous diseases/Children vulnerable without them	autism catastrophic causal change correct declining diagnosis effects evidence gb help important jabs link measles mmr numbers population problem regressive significant sure understand unfortunately uptake wrong
No evidence that declining numbers of MMR vaccinations lead to fewer cases of autism	autism catastrophic causal change correct declining diagnosis effects evidence gb help important jabs link measles mmr numbers population problem regressive significant sure understand unfortunately uptake wrong
Since the introduction of MMR , cases of  autistic regression have increased	autistic cases catching cause chicken documented increased introduction measles mmr pox regression risk second short viral
Children who have been reported as having reacted badly to MMR are not examined/parents dismissed/more research needed	agree benefit breast case causal cause clearly complex concern decision diagnosis difficult figures gb group helping huge informed isolation issue link matter measles official papers parental parents personal poor posts problem problems prove reason right risk sense single stop sure tabs thought understand vs wrong
epidemiological evidence does not have the power to expose the vulnerability of sub-groups	able absolutism absolutist acknowledge case clear court deal disagree discussing epidemiological establish evidence exist expose follow group groups individual issues link numbers opportunity particular points possible power process proof proved quite rarely reaction recommend research saying stance study sub thought understand unless various vulnerability wakefield
Children who have been reported as having reacted badly to MMR are not examined/parents dismissed/more research needed	able absolutism absolutist acknowledge case clear court deal disagree discussing epidemiological establish evidence exist expose follow group groups individual issues link numbers opportunity particular points possible power process proof proved quite rarely reaction recommend research saying stance study sub thought understand unless various vulnerability wakefield
