There is an unknown risk of vaccinations	doctor end risk
The risk o of  catching the disease/ that the disease will result in  complication is higher than the risk of the vaccination	adverse case causality comparing correlation damage days decision disease effects end evidence interested links litigation look mild pointing reported risk risks
Vaccine damage likely to be over reported, e.g because of litigation possibilites confusion of causality and correlation	adverse case causality comparing correlation damage days decision disease effects end evidence interested links litigation look mild pointing reported risk risks
The risk o of  catching the disease/ that the disease will result in  complication is higher than the risk of the vaccination	associated behalf choice choose consequences course debate decided decision ed effects help illness inform irresponsible lucky majority nhs pamphlet possible potentially protect risk risks surgery weigh
Vaccination can protect others who are vulnerable/contribute to herd immunity	associated behalf choice choose consequences course debate decided decision ed effects help illness inform irresponsible lucky majority nhs pamphlet possible potentially protect risk risks surgery weigh
You cannot evaluate the risk of vaccination without also taking into account that there is a higher risk of  catching the disease/ that the disease will result in  complication	catching community diseases immoral lower members order reduce risks understand unethical vulnerable
Critisism of the idea that it is unethical to vaccinate your  child in order to reduce the  risks for the more vulnerable members of the  community	catching community diseases immoral lower members order reduce risks understand unethical vulnerable
Vaccination can protect others who are vulnerable/contribute to herd immunity	catching community diseases immoral lower members order reduce risks understand unethical vulnerable
The risk o of  catching the disease/ that the disease will result in  complication is higher than the risk of the vaccination	able accept actual caused cote disease greater herd higher immunity links meningitis million millionth mmr mumps protected rare research risk risks rubella slightly
Vaccination can protect others who are vulnerable/contribute to herd immunity	able accept actual caused cote disease greater herd higher immunity links meningitis million millionth mmr mumps protected rare research risk risks rubella slightly
There is no need to take the risk of vaccination, e.g. since vaccination is unnecessary, children healthy anyway	catching disease higher identified risk risks unnecessary
The children that are vulnerable to vaccination damage cannot be identified beforehand, and for those vaccintion carry a high risk	catching disease higher identified risk risks unnecessary
Vaccine reactions are under reported	case choose comparing complications course disease million millionth mmr mumps rare reactions reported response risk risks safe sure worth
The  risk of serious side  effects from vaccination to an otherwise  healthy individual is  minimal	antibiotics benefit carry ed effects happy healthy minimal posted risk risks weigh
Vaccination can protect others who are vulnerable/contribute to herd immunity	cancer community ends family fri high honestly huge protection risk small worth
